epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,164.634,0.8603,0.5167,0.91916,0.88819,0.81818,0.87864,0.63744,1.04519,0.7702,1.08669,0.0006338,0.0006338,0.0006338
71,166.836,0.85873,0.50208,0.90905,0.88291,0.81604,0.87203,0.62707,1.03452,0.77257,1.07941,0.000614,0.000614,0.000614
72,169.042,0.83963,0.51713,0.92091,0.88599,0.82684,0.88472,0.62891,1.05423,0.80729,1.07908,0.0005942,0.0005942,0.0005942
73,171.22,0.83839,0.50249,0.91227,0.88208,0.83983,0.88672,0.63594,1.05483,0.80717,1.08156,0.0005744,0.0005744,0.0005744
74,173.449,0.86776,0.51256,0.91853,0.88641,0.81818,0.88314,0.62878,1.04743,0.78149,1.07754,0.0005546,0.0005546,0.0005546
75,175.664,0.82326,0.49985,0.89774,0.90333,0.80906,0.8824,0.63241,1.05446,0.77333,1.07976,0.0005348,0.0005348,0.0005348
76,177.89,0.84835,0.5072,0.91057,0.87108,0.84824,0.87847,0.62691,1.02996,0.76473,1.0661,0.000515,0.000515,0.000515
77,180.08,0.85339,0.5057,0.92132,0.86781,0.81818,0.86839,0.62151,1.02668,0.78127,1.06417,0.0004952,0.0004952,0.0004952
78,182.291,0.847,0.50421,0.91453,0.86478,0.80952,0.86267,0.62082,1.04611,0.82369,1.07461,0.0004754,0.0004754,0.0004754
79,184.486,0.81454,0.4896,0.89935,0.81907,0.86228,0.86351,0.61705,1.05739,0.84569,1.07637,0.0004556,0.0004556,0.0004556
80,186.695,0.83213,0.50016,0.90848,0.84847,0.84848,0.86749,0.62386,1.04049,0.80279,1.06475,0.0004358,0.0004358,0.0004358
81,188.904,0.82924,0.50062,0.91122,0.8475,0.86612,0.87325,0.62625,1.05266,0.76602,1.07014,0.000416,0.000416,0.000416
82,191.115,0.79596,0.4951,0.90585,0.85953,0.84764,0.87375,0.63201,1.05404,0.76639,1.06938,0.0003962,0.0003962,0.0003962
83,193.336,0.81858,0.47935,0.89822,0.88087,0.84416,0.87825,0.63192,1.0343,0.75655,1.05967,0.0003764,0.0003764,0.0003764
84,195.807,0.83971,0.49115,0.90699,0.87195,0.85487,0.87978,0.62986,1.04348,0.7713,1.05982,0.0003566,0.0003566,0.0003566
85,198.164,0.78578,0.47569,0.89417,0.87543,0.85184,0.88049,0.63113,1.03623,0.78777,1.05381,0.0003368,0.0003368,0.0003368
86,200.354,0.79392,0.47729,0.90867,0.89796,0.82684,0.88219,0.6373,0.99983,0.77839,1.03888,0.000317,0.000317,0.000317
87,202.647,0.77811,0.47546,0.89882,0.87653,0.85281,0.88829,0.64406,0.99403,0.75455,1.03742,0.0002972,0.0002972,0.0002972
88,205.07,0.78565,0.4658,0.89943,0.88017,0.85854,0.89159,0.6465,1.00354,0.75856,1.037,0.0002774,0.0002774,0.0002774
89,207.427,0.78942,0.47309,0.89542,0.86943,0.86476,0.89132,0.64715,1.00943,0.76077,1.04184,0.0002576,0.0002576,0.0002576
90,209.667,0.76182,0.46186,0.88585,0.89574,0.85544,0.88594,0.64498,1.03085,0.76193,1.06406,0.0002378,0.0002378,0.0002378
